api-ms-win-core-path-l1-1-0.dll,kernelbase.dll
api-ms-win-core-pcw-l1-1-0.dll,kernelbase.dll
api-ms-win-core-perfcounters-l1-1-0.dll,kernelbase.dll
api-ms-win-core-perfcounters-l1-2-0.dll,kernelbase.dll
api-ms-win-core-privateprofile-l1-1-1.dll,kernel32.dll
api-ms-win-core-processenvironment-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-processenvironment-l1-1-1.dll,kernelbase.dll
api-ms-win-core-processenvironment-l1-2-0.dll,kernelbase.dll
api-ms-win-core-processsecurity-l1-1-0.dll,kernel32.dll,kernelbase.dll[kernel32.dll]
api-ms-win-core-processsnapshot-l1-1-0.dll,kernelbase.dll
api-ms-win-core-processthreads-l1-1-4.dll,kernel32.dll,kernelbase.dll[kernel32.dll]
api-ms-win-core-processtopology-l1-1-0.dll,kernelbase.dll
api-ms-win-core-processtopology-l1-2-0.dll,kernelbase.dll
api-ms-win-core-processtopology-obsolete-l1-1-1.dll,kernel32.dll
api-ms-win-core-processtopology-private-l1-1-0.dll,kernelbase.dll
api-ms-win-core-profile-l1-1-0.dll,kernelbase.dll
api-ms-win-core-psapi-ansi-l1-1-0.dll,kernelbase.dll
api-ms-win-core-psapi-l1-1-0.dll,kernelbase.dll
api-ms-win-core-psapi-obsolete-l1-1-0.dll,kernelbase.dll
api-ms-win-core-psapiansi-l1-1-0.dll,kernelbase.dll
api-ms-win-core-psm-app-l1-1-0.dll,twinapi.appcore.dll
api-ms-win-core-psm-appnotify-l1-1-1.dll,twinapi.appcore.dll
api-ms-win-core-psm-info-l1-1-1.dll,appsruprov.dll
api-ms-win-core-psm-key-l1-1-2.dll,kernelbase.dll
api-ms-win-core-psm-plm-l1-1-3.dll,twinapi.appcore.dll
api-ms-win-core-psm-plm-l1-2-0.dll,twinapi.appcore.dll
api-ms-win-core-psm-plm-l1-3-0.dll,twinapi.appcore.dll
api-ms-win-core-psm-rtimer-l1-1-1.dll,twinapi.appcore.dll
api-ms-win-core-psm-tc-l1-1-1.dll,twinapi.appcore.dll
api-ms-win-core-quirks-l1-1-1.dll,kernelbase.dll
api-ms-win-core-realtime-l1-1-2.dll,kernelbase.dll
api-ms-win-core-registry-fromapp-l1-1-0.dll,reguwpapi.dll
api-ms-win-core-registry-l1-1-2.dll,kernelbase.dll
api-ms-win-core-registry-l2-1-0.dll,advapi32.dll
api-ms-win-core-registry-l2-2-0.dll,advapi32.dll
api-ms-win-core-registry-l2-3-0.dll,advapi32.dll
api-ms-win-core-registry-private-l1-1-0.dll,advapi32.dll
api-ms-win-core-registryuserspecific-l1-1-0.dll,kernelbase.dll
api-ms-win-core-rtlsupport-l1-1-1.dll,ntdll.dll
api-ms-win-core-rtlsupport-l1-2-1.dll,ntdll.dll
api-ms-win-core-shlwapi-legacy-l1-1-0.dll,kernelbase.dll
api-ms-win-core-shlwapi-obsolete-l1-1-0.dll,kernelbase.dll
api-ms-win-core-shlwapi-obsolete-l1-2-0.dll,kernelbase.dll
api-ms-win-core-shutdown-ansi-l1-1-0.dll,advapi32.dll
api-ms-win-core-shutdown-l1-1-1.dll,advapi32.dll
api-ms-win-core-sidebyside-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-sidebyside-l1-1-0.dll,kernelbase.dll
api-ms-win-core-slapi-l1-1-0.dll,clipc.dll
api-ms-win-core-state-helpers-l1-1-0.dll,kernelbase.dll
api-ms-win-core-string-l1-1-0.dll,kernelbase.dll
api-ms-win-core-string-l2-1-1.dll,kernelbase.dll
api-ms-win-core-string-obsolete-l1-1-1.dll,kernel32.dll
api-ms-win-core-stringansi-l1-1-0.dll,kernelbase.dll
api-ms-win-core-stringloader-l1-1-1.dll,kernelbase.dll
api-ms-win-core-synch-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-synch-l1-1-1.dll,kernelbase.dll
api-ms-win-core-synch-l1-2-1.dll,kernelbase.dll
api-ms-win-core-sysinfo-l1-1-1.dll,kernelbase.dll
api-ms-win-core-sysinfo-l1-2-6.dll,kernelbase.dll
api-ms-win-core-sysinfo-l2-1-0.dll,advapi32.dll
api-ms-win-core-systemtopology-l1-1-1.dll,kernelbase.dll
api-ms-win-core-textinput-client-l1-1-1.dll,textinputframework.dll
api-ms-win-core-threadpool-l1-1-0.dll,kernelbase.dll
api-ms-win-core-threadpool-l1-2-0.dll,kernelbase.dll
api-ms-win-core-threadpool-legacy-l1-1-0.dll,kernelbase.dll
api-ms-win-core-threadpool-private-l1-1-0.dll,kernelbase.dll
api-ms-win-core-timezone-l1-1-1.dll,kernelbase.dll
api-ms-win-core-timezone-private-l1-1-0.dll,kernelbase.dll
api-ms-win-core-toolhelp-l1-1-1.dll,kernel32.dll
api-ms-win-core-ums-l1-1-0.dll,kernel32.dll
api-ms-win-core-url-l1-1-0.dll,kernelbase.dll
api-ms-win-core-util-l1-1-1.dll,kernel32.dll,kernelbase.dll[kernel32.dll]
api-ms-win-core-version-l1-1-1.dll,kernelbase.dll
api-ms-win-core-version-private-l1-1-0.dll,kernelbase.dll
api-ms-win-core-versionansi-l1-1-1.dll,kernelbase.dll
api-ms-win-core-windowsceip-l1-1-0.dll,kernelbase.dll
api-ms-win-core-windowserrorreporting-l1-1-3.dll,kernelbase.dll
api-ms-win-core-winrt-error-l1-1-1.dll,combase.dll
api-ms-win-core-winrt-errorprivate-l1-1-1.dll,combase.dll
api-ms-win-core-winrt-l1-1-0.dll,combase.dll
api-ms-win-core-winrt-propertysetprivate-l1-1-1.dll,wintypes.dll
api-ms-win-core-winrt-registration-l1-1-0.dll,combase.dll
api-ms-win-core-winrt-robuffer-l1-1-0.dll,wintypes.dll
api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll,combase.dll
api-ms-win-core-winrt-string-l1-1-1.dll,combase.dll
api-ms-win-core-wow64-l1-1-3.dll,kernelbase.dll
api-ms-win-core-xstate-l1-1-3.dll,ntdll.dll
api-ms-win-core-xstate-l2-1-1.dll,kernelbase.dll
api-ms-win-coremessaging-host-l1-1-0.dll,
api-ms-win-coreui-secruntime-l1-1-0.dll,
api-ms-win-crt-conio-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-convert-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-environment-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-filesystem-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-heap-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-locale-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-math-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-multibyte-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-private-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-process-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-runtime-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-stdio-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-string-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-time-l1-1-0.dll,ucrtbase.dll
api-ms-win-crt-utility-l1-1-0.dll,ucrtbase.dll
api-ms-win-deprecated-apis-advapi-l1-1-0.dll,
api-ms-win-deprecated-apis-legacy-l1-1-0.dll,
api-ms-win-deprecated-apis-legacy-l1-2-0.dll,
api-ms-win-deprecated-apis-obsolete-l1-1-0.dll,kernelbase.dll
api-ms-win-devices-config-l1-1-2.dll,cfgmgr32.dll
api-ms-win-devices-query-l1-1-1.dll,cfgmgr32.dll
api-ms-win-devices-swdevice-l1-1-1.dll,cfgmgr32.dll
api-ms-win-downlevel-advapi32-l1-1-0.dll,kernelbase.dll
api-ms-win-downlevel-advapi32-l2-1-0.dll,sechost.dll
api-ms-win-downlevel-advapi32-l3-1-0.dll,ntmarta.dll
api-ms-win-downlevel-advapi32-l4-1-0.dll,advapi32.dll
api-ms-win-downlevel-kernel32-l1-1-0.dll,kernelbase.dll
api-ms-win-downlevel-kernel32-l2-1-0.dll,kernel32.dll
api-ms-win-downlevel-normaliz-l1-1-0.dll,kernelbase.dll
api-ms-win-downlevel-ole32-l1-1-0.dll,combase.dll
api-ms-win-downlevel-shell32-l1-1-0.dll,shcore.dll
api-ms-win-downlevel-shlwapi-l1-1-0.dll,kernelbase.dll
api-ms-win-downlevel-shlwapi-l2-1-0.dll,shcore.dll
api-ms-win-downlevel-user32-l1-1-0.dll,kernelbase.dll
api-ms-win-downlevel-version-l1-1-0.dll,kernelbase.dll
api-ms-win-dwmapi-l1-1-0.dll,dwmapi.dll
api-ms-win-dx-d3dkmt-l1-1-6.dll,gdi32.dll
api-ms-win-eventing-classicprovider-l1-1-0.dll,kernelbase.dll
api-ms-win-eventing-consumer-l1-1-1.dll,sechost.dll
api-ms-win-eventing-controller-l1-1-0.dll,sechost.dll
api-ms-win-eventing-legacy-l1-1-0.dll,advapi32.dll
api-ms-win-eventing-obsolete-l1-1-0.dll,sechost.dll
api-ms-win-eventing-provider-l1-1-0.dll,kernelbase.dll
api-ms-win-eventing-tdh-l1-1-1.dll,tdh.dll
api-ms-win-eventlog-legacy-l1-1-0.dll,advapi32.dll
api-ms-win-eventlog-private-l1-1-0.dll,advapi32.dll
api-ms-win-gaming-deviceinformation-l1-1-0.dll,kernelbase.dll
api-ms-win-gaming-expandedresources-l1-1-0.dll,gamemode.dll
api-ms-win-gaming-tcui-l1-1-4.dll,gamingtcui.dll
api-ms-win-gdi-dpiinfo-l1-1-0.dll,gdi32.dll
api-ms-win-gdi-internal-uap-l1-1-0.dll,gdi32full.dll
api-ms-win-ham-apphistory-l1-1-0.dll,rmclient.dll
api-ms-win-http-time-l1-1-0.dll,kernelbase.dll
api-ms-win-input-ie-interactioncontext-l1-1-0.dll,
api-ms-win-legacy-shlwapi-l1-1-0.dll,kernelbase.dll
api-ms-win-mm-joystick-l1-1-0.dll,winmm.dll
api-ms-win-mm-mci-l1-1-0.dll,winmm.dll
api-ms-win-mm-misc-l1-1-1.dll,winmmbase.dll
api-ms-win-mm-misc-l2-1-0.dll,winmm.dll
api-ms-win-mm-mme-l1-1-0.dll,winmmbase.dll
api-ms-win-mm-playsound-l1-1-0.dll,winmm.dll
api-ms-win-mm-time-l1-1-0.dll,kernel32.dll
api-ms-win-net-isolation-l1-1-1.dll,firewallapi.dll
api-ms-win-networking-interfacecontexts-l1-1-0.dll,ondemandconnroutehelper.dll
api-ms-win-ngc-serialization-l1-1-1.dll,ngckeyenum.dll
api-ms-win-ntuser-ie-message-l1-1-0.dll,user32.dll
api-ms-win-ntuser-ie-window-l1-1-0.dll,user32.dll
api-ms-win-ntuser-ie-wmpointer-l1-1-0.dll,user32.dll
api-ms-win-ntuser-rectangle-l1-1-0.dll,user32.dll
api-ms-win-ntuser-sysparams-l1-1-0.dll,user32.dll
api-ms-win-obsolete-localization-l1-1-0.dll,kernelbase.dll
api-ms-win-obsolete-psapi-l1-1-0.dll,kernelbase.dll
api-ms-win-obsolete-shlwapi-l1-1-0.dll,kernelbase.dll
api-ms-win-ole32-ie-l1-1-0.dll,ole32.dll
api-ms-win-oobe-notification-l1-1-0.dll,kernel32.dll
api-ms-win-perf-legacy-l1-1-0.dll,advapi32.dll
api-ms-win-power-base-l1-1-0.dll,powrprof.dll
api-ms-win-power-limitsmanagement-l1-1-0.dll,powrprof.dll
